HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1102533,1,2,2,1,0,0,15,7,1913,1,1913,0,1,0,0,3.59,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,75,75
1102541,4,2,12,2,40,9,0,9,1923,1,1923,2,1,0,0,1.41,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,65,65
1102673,1,2,5,2,30,5,40,5,1963,1,1961,2,1,0,0,1.39,4.47,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,25,27
1102699,3,1,5,3,40,5,40,9,1950,1,1954,2,1,1,0,2.95,0.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,38,34
1102707,3,1,3,2,0,0,40,6,1945,1,1945,0,0,0,1,0.00,1.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,43,43
1102715,1,2,3,1,0,0,40,5,1962,1,1962,0,1,0,0,1.36,2.98,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,26,26
1102764,3,2,3,3,40,6,0,6,1955,1,1951,2,1,0,0,0.00,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,33,37
1102780,3,1,10,5,60,9,0,8,1956,1,1951,2,1,0,0,57.87,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,32,37
1102806,3,1,8,4,40,5,40,8,1955,1,1955,2,0,1,1,17.58,93.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,33,33
1102822,3,1,10,4,50,11,30,11,1947,1,1944,2,1,0,0,17.75,93.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,41,44
